wk1,wk2,wk3,2k4
6485,8019,7271,7060
8019,7271,7060,6801
7271,7060,6801,6315
7060,6801,6315,5869
6801,6315,5869,5141
6315,5869,5141,5574
5869,5141,5574,5381
5141,5574,5381,4904
5574,5381,4904,4992
5381,4904,4992,5034
4904,4992,5034,5757
4992,5034,5757,5747
5034,5757,5747,6973
5757,5747,6973,7609
5747,6973,7609,10300
6973,7609,10300,10126
7609,10300,10126,15051
10300,10126,15051,16679
10126,15051,16679,18224
15051,16679,18224,15693
16679,18224,15693,18238
18224,15693,18238,22217
15693,18238,22217,23347
18238,22217,23347,21599
22217,23347,21599,22054
23347,21599,22054,22639
